101_1.wsq: is A; nn: hyp R, conf 0.58; conup n; hyp R, conf 0.58; wrong
101_2.wsq: is A; nn: hyp R, conf 0.64; conup n; hyp R, conf 0.64; wrong
101_3.wsq: is A; nn: hyp R, conf 0.46; conup n; hyp R, conf 0.46; wrong
101_4.wsq: is A; nn: hyp R, conf 0.35; conup n; hyp R, conf 0.35; wrong
101_5.wsq: is A; nn: hyp R, conf 0.65; conup n; hyp R, conf 0.65; wrong
101_6.wsq: is A; nn: hyp R, conf 0.57; conup n; hyp R, conf 0.57; wrong
101_7.wsq: is A; nn: hyp L, conf 0.37; conup n; hyp L, conf 0.37; wrong
101_8.wsq: is A; nn: hyp R, conf 0.51; conup n; hyp R, conf 0.51; wrong
102_1.wsq: is A; nn: hyp R, conf 0.59; conup n; hyp R, conf 0.59; wrong
102_2.wsq: is A; nn: hyp R, conf 1.00; conup n; hyp R, conf 1.00; wrong
102_3.wsq: is A; nn: hyp R, conf 0.96; conup n; hyp R, conf 0.96; wrong
102_4.wsq: is A; nn: hyp R, conf 0.97; conup n; hyp R, conf 0.97; wrong
102_5.wsq: is A; nn: hyp R, conf 1.00; conup n; hyp R, conf 1.00; wrong
102_6.wsq: is A; nn: hyp R, conf 0.99; conup n; hyp R, conf 0.99; wrong
102_7.wsq: is A; nn: hyp R, conf 1.00; conup n; hyp R, conf 1.00; wrong
102_8.wsq: is A; nn: hyp R, conf 0.87; conup n; hyp R, conf 0.87; wrong
103_1.wsq: is A; nn: hyp L, conf 0.96; conup n; hyp L, conf 0.96; wrong
103_2.wsq: is A; nn: hyp L, conf 0.93; conup n; hyp L, conf 0.93; wrong
103_3.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
103_4.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
103_5.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
103_6.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
103_7.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
103_8.wsq: is A; nn: hyp L, conf 0.98; conup n; hyp L, conf 0.98; wrong
104_1.wsq: is A; nn: hyp L, conf 0.97; conup n; hyp L, conf 0.97; wrong
104_2.wsq: is A; nn: hyp L, conf 0.94; conup n; hyp L, conf 0.94; wrong
104_3.wsq: is A; nn: hyp L, conf 0.99; conup n; hyp L, conf 0.99; wrong
104_4.wsq: is A; nn: hyp L, conf 0.98; conup n; hyp L, conf 0.98; wrong
104_5.wsq: is A; nn: hyp L, conf 0.98; conup n; hyp L, conf 0.98; wrong
104_6.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
104_7.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
104_8.wsq: is A; nn: hyp L, conf 1.00; conup n; hyp L, conf 1.00; wrong
